x,y
10745.1346363267,-11434.9792434024
10829.1636582757,-6399.37289636946
10867.8827769797,-1395.74587475848
10868.7522704851,3631.26529746205
10888.2710754493,8656.1906126675
10305.0818390372,14643.1556757555
4475.29772338363,18838.4615429589
-3605.81775517783,14833.9127955157
-2806.48928201381,9513.36765172813
-2811.79409292335,4493.44384689108
-2815.46322376765,-506.554850600054
-2819.13235461196,-5506.55354809119
-2822.80331928106,-10506.5527700491
-2826.47245012537,-15506.5514675402
-2830.14158096967,-20506.5501650314
-2833.81490754824,-25506.5341919241
-2833.98046776367,-25726.3253449397
-2150.78388924045,-32249.6886434238
1476.14511590677,-36857.0997150768
2241.74389515147,-36834.1428743731
9941.9262133986,-35721.6409880175
12249.7090029748,-29481.5978885331
12245.8451194557,-24450.8618639078
12218.9761838557,-19450.9078022715
12223.3918304385,-14519.6452614043
