Brake_P,Collision_P,T_T_Collision,Distance_V2P,Adv_speed
0.042553191489361,0.319148936170212,-0.539999961853027,0.408417745052633,0.07241329193115201
0.043165467625899005,0.34532374100719404,-0.47000002861022905,0.406850742895604,0.063227264404296
0.014492753623188002,0.347826086956521,-0.539999961853027,0.406323595546537,0.07241329193115201
0.007246376811594001,0.355072463768115,-0.539999961853027,0.40635078131778,0.07241329193115201
0.0,0.37313432835820903,-0.539999961853027,0.406813971013528,0.07241329193115201
0.0,0.37410071942446005,-0.539999961853027,0.40655124887061805,0.07241329193115201
0.0,0.394160583941605,-0.539999961853027,0.406810857518968,0.07241329193115201
0.0,0.384615384615384,-0.539999961853027,0.40638913746804,0.07241329193115201
0.007194244604316001,0.35251798561151004,-0.539999961853027,0.405602418604247,0.07241329193115201
0.0072992700729920005,0.357664233576642,-0.539999961853027,8.372909886016593,0.07241329193115201
0.0072992700729920005,0.372262773722627,-0.539999961853027,24.280248499072357,0.07241329193115201
0.007352941176470001,0.264705882352941,-0.539999961853027,24.123612764337995,0.07241329193115201
0.007246376811594001,0.144927536231884,0.5099999904632561,24.29430833469652,0.06848358917236301
0.0072992700729920005,0.12408759124087501,-0.43999999761581404,24.129704726037044,0.059272350311279004
0.007352941176470001,0.066176470588235,-0.47999992966651905,23.960898539560922,0.064543159484863
0.0,0.050359712230215,-0.23999986052513103,23.902179948552558,0.0
0.0,0.036764705882352006,-0.069999977946281,23.9010892993758,0.0
0.0,0.029411764705882002,0.030000209808349002,23.9010892993758,0.0
0.0,0.014285714285714,2.630000114440918,23.9010892993758,0.0
0.0,0.0,31.0,51.318371815984854,0.0
0.0,0.0,31.0,53.236666062881916,0.0
0.0,0.0,31.0,51.08626016195302,0.0
0.0,0.0,31.0,49.193640281485344,0.0
0.0,0.0,31.0,48.10017224195405,0.0
0.0,0.0,31.0,48.703939071337295,0.0
0.0,0.0,31.0,49.59914012325724,0.0
0.0,0.0,31.0,50.942540493539894,0.0
0.0,0.0,31.0,51.19880225077889,0.0
0.0,0.0,31.0,51.19086517457972,0.0
0.0,0.0,31.0,51.190989448760675,0.0
0.0,0.0,31.0,49.37800461279255,1.5
0.0,0.0,31.0,45.53042618379826,1.5
0.0,0.0,31.0,41.45172353236304,1.5
0.0,0.0,31.0,37.71105193438901,1.5
0.0,0.0,31.0,33.498663048666764,1.5
0.0,0.0,31.0,30.214808136189756,1.5
0.0,0.0,31.0,26.463826944630878,1.5
0.0,0.015625,6.539999961853027,22.150064234349497,0.676168273925781
0.0,0.13157894736842102,5.28000020980835,18.535876365111086,0.5753466796875
0.0,0.28947368421052605,4.090000152587891,16.25089591545769,0.46882162475585903
0.0,0.42857142857142805,3.140000104904175,13.560658120789144,0.375037384033203
0.0,0.532258064516129,2.190000057220459,11.177796697822183,0.27272360229492104
0.0,0.5753424657534241,1.240000009536743,9.00794742129976,0.16110447692871002
0.0,0.595238095238095,0.290000051259994,7.197636349052701,0.039333702087402
0.0,0.6162790697674411,-0.520000100135803,5.449108104653883,0.06979474639892501
0.0,0.6144578313253011,-0.44999989867210305,4.062789119047075,0.060591815948486005
0.0,0.4625,-0.5500000715255731,2.561539077107178,0.055306522369384006
0.0,0.287878787878787,-0.190000057220458,1.443056571492787,0.025888324737548003
0.0,0.079365079365079,-0.580000102519989,2.0293859176287,0.077636093139648
0.0,0.026666666666666002,0.47999995946884105,3.449944633090826,0.064543159484863
0.0,0.0,31.0,5.736307488050033,1.5
0.0,0.0,31.0,9.600739328153828,1.5
0.0,0.0,31.0,15.500698418368778,1.5
0.0,0.0,31.0,21.150310436082417,1.5
0.0,0.0,31.0,26.034828550861235,1.495971069335937
